〔市町村別内訳〕第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）（所得割納税義務者数・課税対象所得・課税標準額・所得割額）,,,,,,,,,,,,,,,
年度,団体コード,都道府県名,団体名,表側,所得割の納税義務者数,総所得金額等,分離長期譲渡所得金額に係る所得金額,分離短期譲渡所得金額に係る所得金額,一般株式等に係る譲渡所得金額,上場株式等に係る譲渡所得金額,上場株式等に係る配当所得金額,先物取引に係る雑所得金額,課税対象所得,課税標準額,所得割額（税額控除・減免後）
,,,,,,（ア）,（イ）,（ウ）,（エ）,（オ）,（カ）,（キ）,（ア～キの計）,,
,,,,,人,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円
2024,102075,群馬県,館林市,道府県民税,"33,575 ","111,766,512 ","1,329,729 ","31,175 ","73,931 ","333,284 ","69,629 ","38,517 ","113,642,777 ","72,269,816 ","2,438,748 "
2024,102083,群馬県,渋川市,市町村民税,"31,426 ","98,104,110 ","1,351,039 ","10,257 ","224,061 ","184,119 ","39,178 ","29,681 ","99,942,445 ","61,445,295 ","3,108,313 "
2024,102083,群馬県,渋川市,道府県民税,"31,412 ","98,090,449 ","1,351,039 ","10,257 ","224,061 ","184,119 ","39,178 ","29,681 ","99,928,784 ","61,441,635 ","2,071,481 "
2024,102091,群馬県,藤岡市,市町村民税,"27,897 ","86,302,331 ","1,148,090 ","22,446 ","1,270,040 ","227,555 ","80,069 ","10,538 ","89,061,069 ","55,277,763 ","2,766,140 "
2024,102091,群馬県,藤岡市,道府県民税,"27,886 ","86,292,773 ","1,148,090 ","22,446 ","1,270,040 ","227,554 ","80,069 ","10,539 ","89,051,511 ","55,275,941 ","1,843,355 "
2024,102105,群馬県,富岡市,市町村民税,"20,180 ","63,874,389 ","813,319 ","6,916 ","744,979 ","92,190 ","23,791 ","10,068 ","65,565,652 ","40,748,232 ","2,047,058 "
2024,102105,群馬県,富岡市,道府県民税,"20,168 ","63,860,277 ","813,318 ","6,916 ","744,978 ","92,191 ","23,791 ","10,068 ","65,551,539 ","40,745,594 ","1,364,233 "
2024,102113,群馬県,安中市,市町村民税,"23,726 ","78,320,397 ","878,953 ","7,919 ","931,223 ","139,455 ","48,502 ","11,626 ","80,338,075 ","50,725,185 ","2,563,934 "
2024,102113,群馬県,安中市,道府県民税,"23,714 ","78,304,527 ","876,906 ","7,919 ","931,222 ","139,455 ","48,503 ","11,625 ","80,320,157 ","50,720,161 ","1,708,633 "
2024,102121,群馬県,みどり市,市町村民税,"21,631 ","68,843,518 ","562,650 ","5,271 ","10,697 ","144,010 ","39,622 ","45,039 ","69,650,807 ","43,043,467 ","2,170,801 "
2024,102121,群馬県,みどり市,道府県民税,"21,615 ","68,825,831 ","562,649 ","5,271 ","10,697 ","144,010 ","39,622 ","45,039 ","69,633,119 ","43,039,659 ","1,446,361 "
2024,103446,群馬県,榛東村,市町村民税,"6,833 ","21,432,952 ","160,583 ",0 ,"24,274 ","14,819 ","3,353 ",961 ,"21,636,942 ","13,252,887 ","666,344 "
2024,103446,群馬県,榛東村,道府県民税,"6,833 ","21,432,952 ","160,583 ",0 ,"24,274 ","14,820 ","3,353 ",961 ,"21,636,943 ","13,252,887 ","444,100 "
