〔市町村別内訳〕第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）（所得割納税義務者数・課税対象所得・課税標準額・所得割額）,,,,,,,,,,,,,,,
年度,団体コード,都道府県名,団体名,表側,所得割の納税義務者数,総所得金額等,分離長期譲渡所得金額に係る所得金額,分離短期譲渡所得金額に係る所得金額,一般株式等に係る譲渡所得金額,上場株式等に係る譲渡所得金額,上場株式等に係る配当所得金額,先物取引に係る雑所得金額,課税対象所得,課税標準額,所得割額（税額控除・減免後）
,,,,,,（ア）,（イ）,（ウ）,（エ）,（オ）,（カ）,（キ）,（ア～キの計）,,
,,,,,人,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円
2024,014851,北海道,初山別村,道府県民税,425 ,"1,494,196 ","70,797 ","12,180 ",0 ,68 ,0 ,0 ,"1,577,241 ","1,023,680 ","35,563 "
2024,014869,北海道,遠別町,市町村民税,993 ,"3,454,203 ","37,274 ",809 ,0 ,0 ,0 ,0 ,"3,492,286 ","2,244,121 ","120,173 "
2024,014869,北海道,遠別町,道府県民税,993 ,"3,454,201 ","37,274 ",809 ,0 ,0 ,0 ,0 ,"3,492,284 ","2,244,121 ","80,098 "
2024,014877,北海道,天塩町,市町村民税,"1,330 ","4,694,058 ","3,135 ",0 ,0 ,"1,804 ",0 ,0 ,"4,698,997 ","2,991,391 ","158,736 "
2024,014877,北海道,天塩町,道府県民税,"1,329 ","4,692,678 ","3,135 ",0 ,0 ,"1,804 ",0 ,0 ,"4,697,617 ","2,991,114 ","105,781 "
2024,015113,北海道,猿払村,市町村民税,"1,397 ","8,377,371 ",350 ,"1,973 ",0 ,134 ,"1,271 ",0 ,"8,381,099 ","6,457,734 ","357,758 "
2024,015113,北海道,猿払村,道府県民税,"1,396 ","8,376,624 ",350 ,"1,973 ",0 ,134 ,"1,271 ",0 ,"8,380,352 ","6,457,607 ","238,446 "
2024,015121,北海道,浜頓別町,市町村民税,"1,609 ","6,594,336 ","13,335 ",948 ,"29,761 ",399 ,234 ,394 ,"6,639,407 ","4,547,236 ","245,152 "
2024,015121,北海道,浜頓別町,道府県民税,"1,608 ","6,593,610 ","13,335 ",948 ,"29,761 ",399 ,234 ,394 ,"6,638,681 ","4,547,109 ","163,398 "
2024,015130,北海道,中頓別町,市町村民税,641 ,"2,162,181 ","6,227 ",0 ,0 ,"2,662 ",0 ,0 ,"2,171,070 ","1,354,266 ","72,245 "
2024,015130,北海道,中頓別町,道府県民税,640 ,"2,161,624 ","6,227 ",0 ,0 ,"2,662 ",0 ,0 ,"2,170,513 ","1,354,139 ","48,154 "
2024,015148,北海道,枝幸町,市町村民税,"3,414 ","14,428,070 ","36,084 ",475 ,27 ,"1,066 ",477 ,0 ,"14,466,199 ","9,994,712 ","539,636 "
2024,015148,北海道,枝幸町,道府県民税,"3,414 ","14,428,070 ","36,084 ",475 ,27 ,"1,066 ",477 ,0 ,"14,466,199 ","9,994,712 ","359,688 "
2024,015164,北海道,豊富町,市町村民税,"1,627 ","5,263,923 ","4,983 ","1,899 ",0 ,193 ,"1,112 ","20,401 ","5,292,511 ","3,290,177 ","172,391 "
2024,015164,北海道,豊富町,道府県民税,"1,623 ","5,259,678 ","4,983 ","1,899 ",0 ,193 ,"1,112 ","20,401 ","5,288,266 ","3,289,354 ","114,891 "
2024,015172,北海道,礼文町,市町村民税,"1,134 ","4,410,790 ","14,250 ","1,928 ",0 ,523 ,0 ,0 ,"4,427,491 ","2,945,695 ","160,413 "
2024,015172,北海道,礼文町,道府県民税,"1,134 ","4,410,790 ","14,250 ","1,928 ",0 ,523 ,0 ,0 ,"4,427,491 ","2,945,695 ","106,931 "
2024,015181,北海道,利尻町,市町村民税,860 ,"3,299,498 ",0 ,0 ,0 ,816 ,"15,052 ",0 ,"3,315,366 ","2,169,533 ","114,409 "
2024,015181,北海道,利尻町,道府県民税,860 ,"3,299,498 ",0 ,0 ,0 ,816 ,"15,052 ",0 ,"3,315,366 ","2,169,533 ","76,257 "
2024,015199,北海道,利尻富士町,市町村民税,906 ,"2,975,932 ","4,845 ",0 ,"82,334 ","7,922 ",288 ,"6,102 ","3,077,423 ","1,914,455 ","98,098 "
2024,015199,北海道,利尻富士町,道府県民税,906 ,"2,975,932 ","4,845 ",0 ,"82,334 ","7,922 ",288 ,"6,102 ","3,077,423 ","1,914,455 ","65,382 "
2024,015202,北海道,幌延町,市町村民税,993 ,"3,556,926 ","12,801 ",0 ,"2,042 ","2,217 ",586 ,0 ,"3,574,572 ","2,315,867 ","123,528 "
2024,015202,北海道,幌延町,道府県民税,993 ,"3,556,926 ","12,801 ",0 ,"2,042 ","2,217 ",586 ,0 ,"3,574,572 ","2,315,867 ","82,334 "
2024,015431,北海道,美幌町,市町村民税,"7,689 ","25,026,769 ","313,462 ","6,838 ","15,992 ","40,804 ","6,004 ","1,892 ","25,411,761 ","16,002,483 ","832,951 "
2024,015431,北海道,美幌町,道府県民税,"7,688 ","25,026,205 ","313,462 ","6,838 ","15,992 ","40,804 ","6,004 ","1,892 ","25,411,197 ","16,002,356 ","555,157 "
2024,015440,北海道,津別町,市町村民税,"1,626 ","5,214,473 ","7,599 ",0 ,"1,811 ",337 ,"2,328 ",6 ,"5,226,554 ","3,182,771 ","168,202 "
2024,015440,北海道,津別町,道府県民税,"1,625 ","5,213,113 ","7,599 ",0 ,"1,811 ",337 ,"2,328 ",6 ,"5,225,194 ","3,182,494 ","112,093 "
2024,015458,北海道,斜里町,市町村民税,"4,974 ","20,898,183 ","137,877 ",0 ,"54,845 ","5,450 ",694 ,671 ,"21,097,720 ","14,977,200 ","804,928 "
2024,015458,北海道,斜里町,道府県民税,"4,973 ","20,897,568 ","137,877 ",0 ,"54,845 ","5,450 ",694 ,671 ,"21,097,105 ","14,977,073 ","536,494 "
2024,015466,北海道,清里町,市町村民税,"1,650 ","5,746,017 ","25,471 ",0 ,0 ,0 ,921 ,"1,197 ","5,773,606 ","3,683,431 ","197,088 "
2024,015466,北海道,清里町,道府県民税,"1,648 ","5,741,897 ","25,471 ",0 ,0 ,0 ,921 ,"1,197 ","5,769,486 ","3,682,727 ","131,359 "
2024,015474,北海道,小清水町,市町村民税,"2,055 ","6,929,479 ","22,056 ","17,257 ",0 ,"1,598 ",94 ,0 ,"6,970,484 ","4,403,690 ","234,665 "
2024,015474,北海道,小清水町,道府県民税,"2,054 ","6,928,654 ","22,056 ","17,257 ",0 ,"1,598 ",94 ,0 ,"6,969,659 ","4,403,563 ","156,378 "
2024,015491,北海道,訓子府町,市町村民税,"1,945 ","7,091,219 ","85,481 ",0 ,174 ,"13,681 ",128 ,0 ,"7,190,683 ","4,638,951 ","247,528 "
2024,015491,北海道,訓子府町,道府県民税,"1,944 ","7,088,769 ","85,481 ",0 ,174 ,"13,681 ",128 ,0 ,"7,188,233 ","4,638,334 ","165,025 "
2024,015504,北海道,置戸町,市町村民税,"1,020 ","3,465,505 ","13,926 ",3 ,0 ,"1,187 ",710 ,5 ,"3,481,336 ","2,210,509 ","119,154 "
2024,015504,北海道,置戸町,道府県民税,"1,020 ","3,465,505 ","13,926 ",3 ,0 ,"1,187 ",710 ,5 ,"3,481,336 ","2,210,509 ","79,416 "
2024,015521,北海道,佐呂間町,市町村民税,"1,994 ","8,888,350 ","6,261 ","6,349 ",0 ,892 ,81 ,"1,348 ","8,903,281 ","6,335,549 ","348,489 "
2024,015521,北海道,佐呂間町,道府県民税,"1,994 ","8,888,350 ","6,261 ","6,349 ",0 ,892 ,81 ,"1,348 ","8,903,281 ","6,335,549 ","232,272 "
2024,015555,北海道,遠軽町,市町村民税,"7,701 ","24,842,294 ","128,352 ","23,350 ","34,999 ","18,848 ","7,745 ","1,358 ","25,056,946 ","15,525,861 ","804,199 "
2024,015555,北海道,遠軽町,道府県民税,"7,699 ","24,839,657 ","128,352 ","23,350 ","34,999 ","18,848 ","7,745 ","1,358 ","25,054,309 ","15,525,307 ","535,981 "
2024,015598,北海道,湧別町,市町村民税,"3,577 ","14,778,508 ","77,228 ",0 ,"712,157 ","8,839 ","2,550 ",0 ,"15,579,282 ","11,126,936 ","589,411 "
2024,015598,北海道,湧別町,道府県民税,"3,576 ","14,776,777 ","77,228 ",0 ,"712,157 ","8,839 ","2,550 ",0 ,"15,577,551 ","11,126,584 ","392,864 "
2024,015601,北海道,滝上町,市町村民税,923 ,"3,075,052 ",0 ,"3,316 ",0 ,"4,042 ","1,301 ",0 ,"3,083,711 ","1,895,024 ","100,470 "
2024,015601,北海道,滝上町,道府県民税,923 ,"3,075,052 ",0 ,"3,316 ",0 ,"4,042 ","1,301 ",0 ,"3,083,711 ","1,895,024 ","66,965 "
2024,015610,北海道,興部町,市町村民税,"1,695 ","7,738,451 ","24,537 ","1,315 ",0 ,"1,499 ",101 ,0 ,"7,765,903 ","5,632,108 ","308,329 "
2024,015610,北海道,興部町,道府県民税,"1,694 ","7,737,639 ","24,537 ","1,315 ",0 ,"1,499 ",101 ,0 ,"7,765,091 ","5,631,981 ","205,499 "
2024,015628,北海道,西興部村,市町村民税,440 ,"1,495,934 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,495,934 ","953,552 ","51,323 "
2024,015628,北海道,西興部村,道府県民税,440 ,"1,495,934 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,495,934 ","953,552 ","34,209 "
2024,015636,北海道,雄武町,市町村民税,"2,044 ","9,172,275 ","6,148 ","2,649 ",127 ,386 ,13 ,707 ,"9,182,305 ","6,617,219 ","354,328 "
2024,015636,北海道,雄武町,道府県民税,"2,044 ","9,172,275 ","6,148 ","2,649 ",127 ,386 ,13 ,707 ,"9,182,305 ","6,617,219 ","236,161 "
2024,015644,北海道,大空町,市町村民税,"3,016 ","10,328,535 ","102,946 ",0 ,"12,423 ","10,343 ","1,340 ",0 ,"10,455,587 ","6,646,624 ","350,231 "
2024,015644,北海道,大空町,道府県民税,"3,016 ","10,328,535 ","102,946 ",0 ,"12,423 ","10,343 ","1,340 ",0 ,"10,455,587 ","6,646,624 ","233,420 "
2024,015717,北海道,豊浦町,市町村民税,"1,300 ","3,910,260 ","149,401 ","26,820 ",0 ,66 ,"2,286 ",0 ,"4,088,833 ","2,519,604 ","126,243 "
2024,015717,北海道,豊浦町,道府県民税,"1,300 ","3,910,260 ","149,401 ","26,820 ",0 ,66 ,"2,286 ",0 ,"4,088,833 ","2,519,604 ","84,138 "
2024,015750,北海道,壮瞥町,市町村民税,924 ,"2,702,465 ","38,832 ",0 ,0 ,"4,586 ",290 ,772 ,"2,746,945 ","1,663,771 ","86,182 "
2024,015750,北海道,壮瞥町,道府県民税,923 ,"2,701,081 ","38,832 ",0 ,0 ,"4,586 ",290 ,772 ,"2,745,561 ","1,663,519 ","57,430 "
2024,015784,北海道,白老町,市町村民税,"5,725 ","16,197,222 ","99,906 ","4,416 ","16,166 ","21,660 ","2,785 ",0 ,"16,342,155 ","9,714,665 ","499,548 "
2024,015784,北海道,白老町,道府県民税,"5,723 ","16,195,823 ","99,906 ","4,416 ","16,166 ","21,660 ","2,785 ",0 ,"16,340,756 ","9,714,411 ","332,908 "
2024,015814,北海道,厚真町,市町村民税,"1,787 ","6,064,105 ","61,956 ",0 ,0 ,"1,297 ",290 ,0 ,"6,127,648 ","3,858,552 ","199,732 "
2024,015814,北海道,厚真町,道府県民税,"1,785 ","6,061,301 ","61,956 ",0 ,0 ,"1,297 ",290 ,0 ,"6,124,844 ","3,858,248 ","133,123 "
2024,015849,北海道,洞爺湖町,市町村民税,"3,126 ","9,173,908 ","162,238 ","3,801 ","142,500 ","6,570 ","1,375 ",0 ,"9,490,392 ","5,882,063 ","299,503 "
2024,015849,北海道,洞爺湖町,道府県民税,"3,125 ","9,172,510 ","162,238 ","3,801 ","142,500 ","6,570 ","1,375 ",0 ,"9,488,994 ","5,881,811 ","199,589 "
2024,015857,北海道,安平町,市町村民税,"3,043 ","18,079,555 ","353,288 ",13 ,"35,562 ","238,304 ","56,904 ","1,554 ","18,765,180 ","14,944,400 ","791,087 "
2024,015857,北海道,安平町,道府県民税,"3,041 ","18,078,052 ","353,288 ",13 ,"35,562 ","238,304 ","56,903 ","1,554 ","18,763,676 ","14,944,146 ","527,032 "
2024,015865,北海道,むかわ町,市町村民税,"3,041 ","9,519,243 ","63,144 ",0 ,0 ,"3,188 ","1,121 ","1,375 ","9,588,071 ","5,828,618 ","303,113 "
2024,015865,北海道,むかわ町,道府県民税,"3,041 ","9,520,945 ","63,144 ",0 ,0 ,"3,188 ","1,121 ","1,375 ","9,589,773 ","5,828,618 ","202,018 "
2024,016012,北海道,日高町,市町村民税,"5,011 ","17,515,377 ","186,969 ",0 ,0 ,"7,432 ",19 ,"128,722 ","17,838,519 ","11,618,598 ","608,947 "
2024,016012,北海道,日高町,道府県民税,"5,009 ","17,513,167 ","186,969 ",0 ,0 ,"7,432 ",19 ,"128,722 ","17,836,309 ","11,618,194 ","405,815 "
2024,016021,北海道,平取町,市町村民税,"2,018 ","6,920,947 ","83,583 ",0 ,"255,055 ",355 ,"1,463 ",0 ,"7,261,403 ","4,676,122 ","239,685 "
2024,016021,北海道,平取町,道府県民税,"2,017 ","6,920,318 ","83,583 ",0 ,"255,055 ",355 ,"1,463 ",0 ,"7,260,774 ","4,676,050 ","159,741 "
2024,016047,北海道,新冠町,市町村民税,"2,214 ","7,780,679 ","73,941 ",0 ,"9,360 ","29,290 ","1,490 ",0 ,"7,894,760 ","5,062,646 ","264,815 "
2024,016047,北海道,新冠町,道府県民税,"2,214 ","7,780,679 ","73,941 ",0 ,"9,360 ","29,290 ","1,490 ",0 ,"7,894,760 ","5,062,646 ","176,490 "
2024,016071,北海道,浦河町,市町村民税,"5,104 ","17,516,899 ","97,350 ",679 ,"4,725 ","35,482 ","1,387 ",0 ,"17,656,522 ","11,281,087 ","592,193 "
