第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) 内訳表 その２（調査表第58表、第59表）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,区　分,課　　　　　　　　　　税　　　　　　　　　　標　　　　　　　　　　準　　　　　　　　　　額,,,,,,,,,,,,,,,,算　　　　　　　　　　出　　　　　　　　　　税　　　　　　　　　　額,,,,,,,,,,,,,,"平均
税率
(B)/(A)"
,,"総所得金額
に係るもの","山林所得金額
に係るもの","退職所得金額
に係るもの","小　　計

(A)",分離長期譲渡所得金額に係るもの,,,,分離短期譲渡所得金額に係るもの,,,一般株式等に係る譲渡所得等の金額に係るもの,上場株式等に係る譲渡所得等の金額に係るもの,"上場株式等に
係る配当所得等の
金額に係るもの","先物取引に係る雑所得等の金額
に係るもの",計,総所得金額，山林所得金額及び退職所得金額分に係る分(B),"(B)について
標準税率で
算出したもの
(超過税率課
税分等を除い
た額)(B)’",分離長期譲渡所得金額に係る分,,,,分離短期譲渡所得金額に係る分,,,一般株式等に係る譲渡所得等分,上場株式等に係る譲渡所得等分,"上場株式等の
配当所得等分","先物取引
に係る
雑所得等分","算出税額
計",
,,,,,,"一般の譲渡
に係るもの","優良住宅地
としての
,"  700万円を超え1,000万円以下"," 10,066,115,315 "," 422,872 "," 58,917 "," 10,066,597,104 "," 276,606,258 "," 15,068,459 "," 11,123,196 "," 302,797,913 "," 5,692,775 "," 83,960 "," 5,776,735 "," 171,964,177 "," 118,929,340 "," 18,781,338 "," 13,333,474 "," 10,698,180,081 "," 347,849,118 "," 347,537,624 "," 4,817,547 "," 268,739 "," 171,891 "," 5,258,177 "," 176,856 ", 849 ," 177,705 "," 3,034,635 "," 2,021,527 "," 317,024 "," 227,405 "," 358,885,591 ", 3.5 
,"1,000万円  〃  2,000万円 〃"," 12,710,022,184 "," 622,911 "," 211,007 "," 12,710,856,102 "," 437,354,803 "," 20,864,224 "," 16,121,622 "," 474,340,649 "," 10,557,279 "," 59,559 "," 10,616,838 "," 367,549,478 "," 162,245,126 "," 34,358,710 "," 17,443,470 "," 13,777,410,373 "," 440,415,186 "," 440,078,523 "," 7,603,426 "," 371,188 "," 264,272 "," 8,238,886 "," 339,645 "," 1,188 "," 340,833 "," 6,597,099 "," 2,839,438 "," 587,971 "," 303,695 "," 459,323,108 ", 3.5 
,"2,000万円  〃  5,000万円 〃"," 8,024,335,196 "," 431,665 "," 209,442 "," 8,024,976,303 "," 299,503,729 "," 13,278,409 "," 9,916,269 "," 322,698,407 "," 10,156,986 ", 39 ," 10,157,025 "," 580,030,975 "," 236,006,868 "," 44,016,367 "," 10,043,947 "," 9,227,929,892 "," 279,546,501 "," 279,360,115 "," 5,224,533 "," 221,358 "," 152,743 "," 5,598,634 "," 313,994 ", 1 ," 313,995 "," 10,045,217 "," 4,288,186 "," 777,370 "," 178,433 "," 300,748,336 ", 3.5 
,"5,000万円  〃  　　1億円 〃"," 2,850,840,198 "," 79,674 "," 120,510 "," 2,851,040,382 "," 74,883,712 "," 2,214,169 "," 1,587,776 "," 78,685,657 "," 3,614,166 "," 116,156 "," 3,730,322 "," 330,023,049 "," 156,562,833 "," 19,577,295 "," 5,320,545 "," 3,444,940,083 "," 99,738,947 "," 99,678,413 "," 1,279,220 "," 39,718 "," 26,222 "," 1,345,160 "," 112,750 "," 2,324 "," 115,074 "," 5,729,940 "," 2,946,631 "," 343,036 "," 91,960 "," 110,310,748 ", 3.5 
,1億円を超える金額," 2,961,389,303 "," 3,901 "," 516,802 "," 2,961,910,006 "," 76,968,656 "," 366,865 "," 1,567,564 "," 78,903,085 "," 4,871,407 ", - ," 4,871,407 "," 888,768,990 "," 671,818,921 "," 37,701,327 "," 7,059,430 "," 4,651,033,166 "," 105,771,643 "," 105,724,924 "," 1,472,240 "," 5,221 "," 26,729 "," 1,504,190 "," 154,618 ", - ," 154,618 "," 16,660,273 "," 12,701,195 "," 690,975 "," 127,523 "," 137,610,417 ", 3.6 
,合　　　計," 140,074,311,857 "," 4,712,582 "," 1,177,068 "," 140,080,201,507 "," 5,226,045,309 "," 182,270,764 "," 325,184,294 "," 5,733,500,367 "," 80,978,886 "," 1,065,613 "," 82,044,499 "," 3,025,392,800 "," 2,018,338,815 "," 242,967,652 "," 191,751,144 "," 151,374,196,784 "," 4,927,697,034 "," 4,924,494,222 "," 91,321,465 "," 3,179,089 "," 4,855,201 "," 99,355,755 "," 2,528,601 "," 19,300 "," 2,547,901 "," 53,865,319 "," 36,792,986 "," 4,311,765 "," 3,359,640 "," 5,127,930,400 ", 3.5 
,"1,000万円を超える金額", - , - , - ," 26,548,782,793 ", - , - , - , - , - , - , - , - , - , - , - , - , - ," 924,841,975 ", - , - , - , - , - , - , - , - , - , - , - , - , - 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
