第11表　課税標準額段階別令和６年度分所得割額等に関する調（合計）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) 内訳表（調査表第58表、第59表）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,区　分,総所得金額,山林所得金額,退職所得金額,小計,分　離　長　期　譲　渡　所　得　金　額,,,,分　離　短　期　譲　渡　所　得　金　額,,,"一般株式等に
係る譲渡所得等の金額","上場株式等に
係る譲渡所得等
の金額","上場株式等に
係る配当所得
の金額","先物取引
に係る雑所得
等の金額","所得金額
計","雑　損
控　除","医療費
控　除",,"社会保険料
控　　　除","小規模企業
共済等掛金
控　　　除","生命保険料
控　　　除","地震保険料
控　　　除",障害者控除（同居特障加算分含まず）,,,"寡　婦
控　除","ひとり親
控　　除","勤労学生
控　　除",配　　偶　　者　　控　　除,,,"配 偶 者
特別控除
",扶　　　養　　　控　　　除,,,,,"特別障害者のうち
同居特障加算分
(23万円)","基　礎
控　除","所得控除額
計",,,,,,,,,
,,,,,,"一般の譲渡
に係る金額","優良住宅地
としての
譲渡に係る金額","居住用財産の
譲渡に係る金額",計,"一般の譲渡
に係る金額","国・地方公共
団体等に対する
譲渡に係る金額",計,,,,,,,,左のうちセルフメディケーション税制に係る分,,,,,普　通,特　別,計,,,,"一　般
(70歳未満)","老人配偶者
(70歳以上)",計,,"一　般
(16歳～18歳)
(23歳～69歳)","特定扶養親族
(19歳～22歳)
","老人扶養親族
(70歳以上)
","同居老親等
(70歳以上)
","計
",,,,,,,,,,,,
課税標準額の段階,,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,千円,,,,,,,,,
市　　　町　　　村　　　民　　　税,   10万円以下の金額," 47,066,107 ", 509 ," 12,750 "," 47,079,366 "," 1,398,910,236 "," 40,145,996 "," 114,024,996 "," 1,553,081,228 "," 14,615,076 "," 251,118 "," 14,866,194 "," 127,321,725 "," 133,799,636 "," 12,577,677 "," 41,644,296 "," 1,930,370,122 "," 134,419 "," 10,946,375 "," 2,915 "," 26,300,182 "," 2,750,015 "," 3,168,986 "," 398,302 "," 2,116,660 "," 2,327,700 "," 4,444,360 "," 1,239,160 "," 172,500 ", - ," 1,919,608 "," 3,693,850 "," 5,613,458 "," 908,219 "," 2,484,570 "," 825,300 "," 679,060 "," 1,379,250 "," 5,368,180 "," 498,870 "," 50,019,261 "," 111,962,287 ",,,,,,,,,
,   10万円を超え 100万円以下," 24,980,350,392 "," 544,067 "," 5,230 "," 24,980,899,689 "," 734,573,758 "," 22,349,673 "," 59,919,430 "," 816,842,861 "," 6,177,282 "," 283,689 "," 6,460,971 "," 75,194,293 "," 92,484,332 "," 15,764,793 "," 17,288,282 "," 26,004,935,221 "," 836,517 "," 303,098,838 "," 218,853 "," 4,883,651,728 "," 123,961,743 "," 442,902,933 "," 22,375,540 "," 108,541,940 "," 65,512,200 "," 174,054,140 "," 61,036,560 "," 94,113,000 ", - ," 334,365,680 "," 468,185,730 "," 802,551,410 "," 166,894,700 "," 257,979,150 "," 106,938,000 "," 41,946,300 "," 155,078,100 "," 561,941,550 "," 16,851,180 "," 7,311,982,330 "," 14,966,252,169 ",,,,,,,,,
,  100万円  〃 　200万円 〃," 43,992,919,267 "," 758,301 "," 20,999 "," 43,993,698,567 "," 636,681,799 "," 21,562,649 "," 48,529,804 "," 706,774,252 "," 6,153,206 "," 28,701 "," 6,181,907 "," 89,285,126 "," 115,510,691 "," 17,231,955 "," 19,311,776 "," 44,947,994,274 "," 752,936 "," 267,183,965 "," 232,571 "," 8,796,036,855 "," 191,026,439 "," 568,589,790 "," 27,144,136 "," 79,346,020 "," 58,470,300 "," 137,816,320 "," 34,414,380 "," 73,946,400 ", - ," 565,000,810 "," 189,596,050 "," 754,596,860 "," 197,606,880 "," 311,211,120 "," 217,304,550 "," 53,567,080 "," 197,341,650 "," 779,424,400 "," 21,611,260 "," 7,295,346,537 "," 19,145,497,158 ",,,,,,,,,
,  200万円  〃 　300万円 〃," 39,258,946,303 "," 691,813 "," 8,172 "," 39,259,646,288 "," 443,057,071 "," 13,442,483 "," 27,064,474 "," 483,564,028 "," 5,235,776 "," 63,866 "," 5,299,642 "," 93,886,231 "," 112,355,280 "," 14,006,828 "," 18,330,731 "," 39,987,089,028 "," 535,791 "," 192,134,696 "," 179,074 "," 7,635,232,133 "," 192,865,501 "," 417,372,171 "," 23,487,626 "," 44,135,520 "," 33,865,800 "," 78,001,320 "," 13,440,700 "," 26,555,100 ", - ," 518,442,540 "," 60,800,420 "," 579,242,960 "," 160,669,030 "," 250,722,780 "," 208,423,350 "," 41,792,780 "," 120,785,400 "," 621,724,310 "," 13,646,360 "," 4,372,525,870 "," 14,327,433,568 ",,,,,,,,,
,  300万円  〃 　400万円 〃," 27,424,393,306 "," 518,232 "," 3,951 "," 27,424,915,489 "," 334,167,240 "," 12,513,340 "," 15,216,146 "," 361,896,726 "," 5,048,123 "," 146,460 "," 5,194,583 "," 114,993,254 "," 93,648,427 "," 13,259,158 "," 15,016,179 "," 28,028,923,816 "," 257,564 "," 133,554,466 "," 132,147 "," 5,174,166,873 "," 158,696,689 "," 249,189,029 "," 16,541,967 "," 25,291,500 "," 19,779,900 "," 45,071,400 "," 3,646,240 "," 1,811,700 ", - ," 368,907,440 "," 21,879,210 "," 390,786,650 "," 100,599,150 "," 197,683,200 "," 195,839,550 "," 31,014,080 "," 68,979,150 "," 493,515,980 "," 8,412,710 "," 2,285,711,671 "," 9,061,962,089 ",,,,,,,,,
,  400万円  〃 　550万円 〃," 23,790,371,877 "," 607,192 "," 6,210 "," 23,790,985,279 "," 338,306,877 "," 12,354,417 "," 12,738,932 "," 363,400,226 "," 5,530,910 "," 18,644 "," 5,549,554 "," 110,913,617 "," 101,114,384 "," 17,458,825 "," 18,766,338 "," 24,408,188,223 "," 243,771 "," 122,522,147 "," 123,255 "," 4,221,314,181 "," 153,697,838 "," 179,017,316 "," 13,721,232 "," 17,066,920 "," 13,234,800 "," 30,301,720 "," 46,800 "," 7,500 ", - ," 314,207,740 "," 12,205,600 "," 326,413,340 "," 75,079,760 "," 163,330,530 "," 167,816,700 "," 24,440,460 "," 41,572,800 "," 397,160,490 "," 5,565,080 "," 1,552,096,670 "," 7,077,187,845 ",,,,,,,,,
,  550万円  〃 　700万円 〃," 11,609,283,184 "," 397,898 "," 25,179 "," 11,609,706,261 "," 227,715,795 "," 8,680,925 "," 8,542,698 "," 244,939,418 "," 4,649,784 "," 20,438 "," 4,670,222 "," 78,129,176 "," 75,968,702 "," 11,876,059 "," 12,040,081 "," 12,037,329,919 "," 189,432 "," 70,835,907 "," 62,048 "," 1,815,190,140 "," 88,718,516 "," 68,909,945 "," 6,239,368 "," 7,058,220 "," 5,891,400 "," 12,949,620 ", - , - , - ," 116,877,640 "," 5,301,060 "," 122,178,700 "," 25,049,280 "," 68,751,870 "," 72,601,200 "," 12,016,740 "," 15,964,200 "," 169,334,010 "," 2,413,620 "," 600,800,481 "," 2,982,809,019 ",,,,,,,,,
,"  700万円  〃 1,000万円 〃"," 12,744,229,190 "," 429,230 "," 62,489 "," 12,744,720,909 "," 276,655,697 "," 15,068,548 "," 11,132,116 "," 302,856,361 "," 5,697,106 "," 83,961 "," 5,781,067 "," 171,982,602 "," 121,400,043 "," 19,446,786 "," 13,531,940 "," 13,379,719,708 "," 214,191 "," 86,375,521 "," 64,416 "," 1,691,517,622 "," 106,026,424 "," 59,265,730 "," 6,117,658 "," 6,724,640 "," 6,196,800 "," 12,921,440 ", - , - , - ," 15,059,990 "," 1,480,980 "," 16,540,970 "," 3,089,940 "," 69,324,750 "," 75,011,850 "," 13,383,600 "," 13,873,950 "," 171,594,150 "," 2,463,300 "," 519,917,820 "," 2,676,044,766 ",,,,,,,,,
